session_id,partner_key,dispatch_date,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_cost,delivery_rating
3,PRTN-004,30-01-2024,same day,east,cold,269.7,12.69,no,delivered,1486.57,3
6,PRTN-007,28-05-2024,same day,central,clear,198.3,43.79,no,delivered,1222.87,3
23,PRTN-024,16-03-2024,standard,central,clear,251.7,34.9,no,delivered,1363.2,4
25,PRTN-026,04-04-2024,two day,north,stormy,115.4,0.67,no,delivered,578.59,4
32,PRTN-033,18-12-2024,express,south,hot,242.5,46.73,yes,failed,1402.69,1
34,PRTN-035,26-02-2024,express,central,stormy,81.8,45.51,yes,delayed,595.53,2
40,PRTN-041,21-12-2024,same day,north,foggy,131.5,25.79,no,delivered,834.87,5
43,PRTN-044,20-07-2024,two day,east,rainy,253.9,7.07,no,delivered,1290.71,3
46,PRTN-020,09-09-2024,standard,south,hot,180.0,35.04,no,delivered,1005.12,3
47,PRTN-047,28-03-2024,two day,north,rainy,187.9,14.96,no,delivered,984.38,4
56,PRTN-053,27-09-2024,standard,north,foggy,211.9,46.94,no,delivered,1200.32,5
66,PRTN-065,20-01-2024,express,east,cold,87.7,22.38,yes,failed,555.64,2
67,PRTN-044,21-06-2024,same day,east,rainy,90.1,27.46,no,delivered,632.88,4
70,PRTN-067,15-07-2024,standard,south,rainy,75.2,28.25,no,delivered,460.75,3
74,PRTN-070,13-02-2024,two day,north,cold,96.4,39.33,no,delivered,599.99,4
75,PRTN-071,16-07-2024,standard,west,cold,216.2,23.93,no,delivered,1152.79,4
82,PRTN-051,03-03-2024,same day,central,stormy,258.4,22.08,yes,failed,1458.24,2
88,PRTN-083,30-04-2024,standard,east,rainy,111.0,36.68,no,delivered,665.04,4
105,PRTN-097,17-08-2024,same day,south,cold,295.5,48.45,no,delivered,1632.7206,4
111,PRTN-102,29-05-2024,express,south,rainy,247.9,5.23,yes,failed,1305.19,2
117,PRTN-107,09-08-2024,standard,central,hot,265.8,32.11,no,delivered,1425.33,5
119,PRTN-109,03-04-2024,standard,west,clear,6.0,0.88,no,delivered,95.6674,4
120,PRTN-110,04-07-2024,two day,east,foggy,16.5,21.49,no,delivered,146.97,4
