customer_id,Recency Days,Frequency,Revenue,R Score,F Score,M Score,RFM Score,RFM Segment
1000,248,1,1228.72,1,1,2,112,Lost
1003,89,1,1681.96,3,1,2,312,Others
1008,49,1,1546.42,4,1,2,412,New Customer
1009,100,3,4616.63,2,3,3,233,At Risk
1014,318,1,2423.92,1,1,3,113,Hibernating
1026,350,1,244.3,1,1,1,111,Lost
1028,138,1,2328.44,1,1,3,113,Hibernating
1029,155,1,357.02,1,1,1,111,Lost
1031,129,2,2231.42,1,2,3,123,Hibernating
1033,333,1,571.06,1,1,2,112,Lost
1035,137,1,325.77,1,1,1,111,Lost
1036,51,1,395.17,4,1,1,411,New Customer
1038,52,1,4503.98,4,1,3,413,New Customer
1039,15,2,1852.98,5,2,2,522,New Customer
1040,14,2,7417.69,5,2,4,524,New Customer
1041,121,1,1296.48,1,1,2,112,Lost
1042,139,3,4330.68,1,3,3,133,At Risk
1044,73,2,1008.62,3,2,2,322,Others
1047,126,1,922.92,1,1,2,112,Lost
1054,184,1,2322.16,1,1,3,113,Hibernating
1056,79,1,345.71,3,1,1,311,Others
1058,222,2,6257.73,1,2,4,124,Hibernating
1062,94,2,5304.35,2,2,4,224,Hibernating
1065,223,1,7889.36,1,1,4,114,Hibernating
1066,142,1,3654.18,1,1,3,113,Hibernating
1067,119,1,2032.07,2,1,3,213,Hibernating
1071,132,1,1331.9,1,1,2,112,Lost
1076,342,1,1449.62,1,1,2,112,Lost
1077,89,1,1959.6,3,1,2,312,Others
1078,215,1,490,1,1,1,111,Lost
1079,107,1,4252.77,2,1,3,213,Hibernating
1080,124,1,2111.96,1,1,3,113,Hibernating
1082,225,1,1601.42,1,1,2,112,Lost
1083,166,1,1056.76,1,1,2,112,Lost
1084,355,1,3648.04,1,1,3,113,Hibernating
1086,339,1,1236.24,1,1,2,112,Lost
1087,218,1,222.61,1,1,1,111,Lost
1089,212,1,2169.46,1,1,3,113,Hibernating
1090,216,1,3331.6,1,1,3,113,Hibernating
1092,166,1,2987.93,1,1,3,113,Hibernating
1095,50,2,3681.54,4,2,3,423,New Customer
1096,136,2,4912.93,1,2,3,123,Hibernating
1099,88,1,2717.82,3,1,3,313,Others
1100,141,2,788.77,1,2,2,122,Lost
1101,42,1,1339.45,4,1,2,412,New Customer
1105,327,1,1244.58,1,1,2,112,Lost
1110,41,1,2098.22,4,1,3,413,New Customer
1111,223,1,1839.86,1,1,2,112,Lost
1112,323,1,2540.56,1,1,3,113,Hibernating
1115,214,1,1763.68,1,1,2,112,Lost
1118,351,1,4522.5,1,1,3,113,Hibernating
1121,227,1,1894.59,1,1,2,112,Lost
1124,68,2,1684.02,3,2,2,322,Others
1126,126,2,2051.36,1,2,3,123,Hibernating
1130,196,1,1026.78,1,1,2,112,Lost
1131,182,1,1150.86,1,1,2,112,Lost
1132,124,2,3476.22,1,2,3,123,Hibernating
1134,53,3,7061.16,4,3,4,434,Loyal
1138,29,1,924.05,5,1,2,512,New Customer
1145,56,1,997.25,4,1,2,412,New Customer
1146,32,1,2950.09,4,1,3,413,New Customer
1148,351,1,843.58,1,1,2,112,Lost
1150,234,1,2340.49,1,1,3,113,Hibernating
1151,64,1,673.69,3,1,2,312,Others
1152,109,1,772.78,2,1,2,212,Hibernating
1153,86,1,1069.29,3,1,2,312,Others
1155,115,2,4908.51,2,2,3,223,Hibernating
1158,64,1,2864.37,3,1,3,313,Others
1159,288,1,5605.16,1,1,4,114,Hibernating
1160,240,1,2058,1,1,3,113,Hibernating
1162,336,1,1483.14,1,1,2,112,Lost
1163,81,1,403.7,3,1,1,311,Others
1164,180,1,1126.58,1,1,2,112,Lost
1165,31,2,1357.87,4,2,2,422,New Customer
1167,18,2,3059.2,5,2,3,523,New Customer
1169,148,2,947.29,1,2,2,122,Lost
1172,265,1,332.26,1,1,1,111,Lost
1174,171,1,1507.02,1,1,2,112,Lost
1175,128,2,2666.89,1,2,3,123,Hibernating
1177,142,1,756.39,1,1,2,112,Lost
1183,263,1,5294.04,1,1,4,114,Hibernating
1184,181,2,3314.81,1,2,3,123,Hibernating
1187,26,2,9145.76,5,2,4,524,New Customer
1188,20,3,1550.69,5,3,2,532,Potential Loyalist
1190,39,2,1456.45,4,2,2,422,New Customer
1193,360,1,1818.94,1,1,2,112,Lost
1195,2,1,1219.67,5,1,2,512,New Customer
1196,255,2,5634.82,1,2,4,124,Hibernating
1197,26,1,4518.88,5,1,3,513,New Customer
1198,178,1,973.3,1,1,2,112,Lost
1200,64,1,1897.32,3,1,2,312,Others
1202,294,1,1248.59,1,1,2,112,Lost
1203,238,2,3619.66,1,2,3,123,Hibernating
1204,41,1,969.32,4,1,2,412,New Customer
1206,319,1,3324.51,1,1,3,113,Hibernating
1208,179,1,1136.65,1,1,2,112,Lost
1209,310,1,816.6,1,1,2,112,Lost
1212,32,3,2666.46,4,3,3,433,Loyal
1213,109,1,744.78,2,1,2,212,Hibernating
1214,323,1,3055.83,1,1,3,113,Hibernating
1215,53,1,1328.42,4,1,2,412,New Customer
1218,69,2,3526.43,3,2,3,323,Others
1220,209,1,1765.86,1,1,2,112,Lost
1222,344,1,898.63,1,1,2,112,Lost
1223,63,1,522.78,3,1,2,312,Others
1225,128,1,268.76,1,1,1,111,Lost
1226,48,1,1203.09,4,1,2,412,New Customer
1227,19,1,4039.92,5,1,3,513,New Customer
1228,301,1,829.75,1,1,2,112,Lost
1229,358,1,651.56,1,1,2,112,Lost
